	Dim1	Dim2	new_membership	class
1001000178.A6	2.6936085	-31.261488	Microglia	3
1001000178.C10	-5.5460443	-24.704342	Microglia	3
1001000178.C5	-17.171398	-48.459904	Microglia	3
1001000178.B1	-2.612504	-40.304638	Microglia	3
1001000178.F8	-5.9920006	-42.749306	Microglia	3
1001000178.A11	5.984227	-40.29707	Microglia	3
1001000178.C3	-0.7609306	-40.71106	Microglia	3
1001000178.E1	1.2660656	-39.478195	Microglia	3
1001000178.D3	4.803756	-47.686703	Microglia	3
1001000178.C12	6.068156	-60.075726	Microglia	3
1001000178.C7	0.007600021	-45.666138	Microglia	3
1001000178.G3	-3.6361551	-45.297344	Microglia	3
1001000178.E12	4.186401	-51.39935	Microglia	3
1001000178.A8	-3.6385286	-43.093536	Microglia	3
1001000178.D1	7.978753	-48.040398	Microglia	3
1001000178.F6	7.9091945	-42.43864	Microglia	3
1001000178.G5	-3.7399843	-43.673317	Microglia	3
1001000178.E11	13.155196	-51.402912	Microglia	3
1001000178.F3	-4.773066	-42.49859	Microglia	3
1001000178.E8	-4.704422	-50.248764	Microglia	3
1001000178.D11	9.884036	-39.963043	Microglia	3
1001000178.D7	-19.300234	-52.021454	Microglia	3
1001000178.G7	2.1778314	-52.845215	Microglia	3
1001000178.B8	-0.5087885	-49.758568	Microglia	3
1001000178.D5	5.0951304	-44.183857	Microglia	3
1001000178.F1	7.853833	-36.388023	Microglia	3
1001000178.E6	10.616313	-43.87031	Microglia	3
1001000178.C1	0.062996	-49.89615	Microglia	3
1001000178.B6	10.112997	-56.555103	Microglia	3
1001000178.F12	-1.261009	-24.56911	Microglia	3
1001000178.E4	10.148	-56.469784	Microglia	3
1001000178.B10	0.5463316	-35.85113	Microglia	3
1001000178.F7	-5.9507427	-21.233852	Microglia	3
1001000178.A10	3.2447934	-54.107635	Microglia	3
1001000178.B4	5.968255	-48.242733	Microglia	3
1001000178.G4	-2.6156647	-40.33122	Microglia	3
1001000178.D4	12.760703	-37.819847	Microglia	3
1001000178.A5	2.782041	-59.88884	Microglia	3
1001000178.D6	-1.5246613	-43.44058	Microglia	3
1001000178.C6	-0.29121536	-38.989014	Microglia	3
1001000178.C11	0.12290788	-40.900307	Microglia	3
1001000178.B2	5.4101014	-38.94793	Microglia	3
1001000178.B9	-3.041595	-52.384926	Microglia	3
1001000178.E9	5.809915	-39.05693	Microglia	3
1001000178.E2	5.064696	-36.011333	Microglia	3
1001000178.D2	13.913143	-44.042583	Microglia	3
1001000178.G6	0.4055118	-57.529118	Microglia	3
1001000178.D9	-1.746637	-47.952	Microglia	3
1001000178.G2	-0.15746127	-48.64064	Microglia	3
1001000178.F5	7.5228753	-54.011673	Microglia	3
1001000178.E10	7.520286	-49.230343	Microglia	3
1001000178.C8	5.932405	-43.026417	Microglia	3
1001000178.A7	6.1142745	-51.43695	Microglia	3
1001000178.B11	-0.08189407	-34.339024	Microglia	3
1001000178.E7	7.895426	-45.262653	Microglia	3
1001000178.H5	2.2131996	-51.55092	Microglia	3
1001000178.H3	3.2945857	-41.04988	Microglia	3
1001000178.G12	5.3278084	-42.471912	Microglia	3
1001000178.H9	-2.5096254	-54.118923	Microglia	3
1001000178.H10	0.8761852	-43.20832	Microglia	3
1001000178.H7	6.8986053	-56.653732	Microglia	3
1001000178.G11	-3.2050416	-42.60068	Microglia	3
1001000178.H4	4.7764897	-49.859394	Microglia	3
1001000178.H2	4.4517636	-54.97042	Microglia	3
1001000178.G9	6.9409604	-54.008736	Microglia	3
1001000178.H1	-1.4028156	-48.152733	Microglia	3
1001000178.H8	-3.4838467	-45.202057	Microglia	3
1001000178.H11	-7.197539	-58.350906	Microglia	3
1001000178.H6	-2.334038	-43.957565	Microglia	3
1001000178.G10	2.0688462	-41.224136	Microglia	3
1001000179.F10	-6.705233	-58.36905	Microglia	3
1001000179.B12	30.88547	28.970804	8	9
1001000179.H7	-2.099049	-35.470127	Microglia	3
1001000179.C1	2.7966347	-60.000896	Microglia	3
1001000179.G9	0.9110653	-59.32826	Microglia	3
1001000179.A10	-5.311411	-44.868126	Microglia	3
1001000179.B4	-0.12651148	-43.921837	Microglia	3
1001000179.C7	-10.373124	-51.404648	Microglia	3
1001000179.D9	-32.312885	31.737074	7	7
1001000179.E6	6.626455	-40.77083	Microglia	3
1001000179.A4	10.488022	-36.986336	Microglia	3
1001000179.G3	3.7952883	-46.64728	Microglia	3
1001000179.D11	2.561755	-27.997227	Microglia	3
1001000179.H5	-16.015873	-49.171066	Microglia	3
1001000179.D6	-1.8017008	-56.20802	Microglia	3
1001000179.B8	-4.9596844	-38.74155	Microglia	3
1001000179.C4	4.727595	-47.00279	Microglia	3
1001000179.F1	1.3645102	-48.192745	Microglia	3
1001000179.B10	2.3830311	-56.660843	Microglia	3
1001000179.A2	8.945777	-35.906178	Microglia	3
1001000179.F5	-0.66709065	-33.68853	Microglia	3
1001000179.C10	-9.143068	-44.326828	Microglia	3
1001000179.D4	5.7837014	-51.87443	Microglia	3
1001000179.H3	-4.9732256	-38.611042	Microglia	3
1001000179.F4	9.767927	-36.87498	Microglia	3
1001000179.D3	-3.3774383	-61.147095	Microglia	3
1001000179.B7	-2.066847	-54.94375	Microglia	3
1001000179.E9	-0.29452443	-44.123062	Microglia	3
1001000179.E12	-1.2041094	-29.675667	Microglia	3
1001000179.A1	9.333135	-37.635723	Microglia	3
1001000179.G5	-2.2607207	-46.13605	Microglia	3
1001000179.H11	3.2017362	-56.70668	Microglia	3
1001000179.E3	13.730891	-45.896282	Microglia	3
1001000179.B3	-2.0526161	-51.060177	Microglia	3
1001000179.C3	9.655664	-41.96611	Microglia	3
1001000179.A9	5.99582	-56.27202	Microglia	3
1001000179.F6	-6.928389	-60.764034	Microglia	3
1001000179.H9	1.9444516	-57.127167	Microglia	3
1001000179.C12	-16.728703	-49.6396	Microglia	3
1001000179.H1	-5.1583586	-47.339916	Microglia	3
1001000179.G6	-1.7849722	-53.991158	Microglia	3
1001000179.D1	11.645252	-50.07032	Microglia	3
1001000179.F9	0.24475414	-55.558002	Microglia	3
1001000179.B1	-15.295204	-45.002235	Microglia	3
1001000179.C9	-5.197623	-47.265537	Microglia	3
1001000179.A12	6.0256114	-45.69211	Microglia	3
1001000179.A7	2.51842	-36.08627	Microglia	3
1001000179.E5	0.9311158	-39.101646	Microglia	3
1001000179.H4	-10.362267	-42.555183	Microglia	3
1001000179.C8	3.6981792	-56.852283	Microglia	3
1001000179.E1	-2.359521	-50.452286	Microglia	3
1001000179.A5	13.670465	-45.328163	Microglia	3
1001000179.H10	4.647112	-53.28782	Microglia	3
1001000179.E7	8.190593	-33.529633	Microglia	3
1001000179.G8	6.658337	-47.06835	Microglia	3
1001000179.D10	6.053665	-46.085625	Microglia	3
1001000179.G2	-9.140768	-22.737202	Microglia	3
1001000179.D7	7.0176344	-51.05171	Microglia	3
1001000179.G11	2.1626215	-35.70468	Microglia	3
1001000179.H6	-3.1018279	-35.2155	Microglia	3
1001000179.F8	7.144015	-31.17816	Microglia	3
1001000179.C6	6.422747	-50.06225	Microglia	3
1001000179.C5	2.5687377	-53.263554	Microglia	3
1001000179.G1	10.899779	-50.216637	Microglia	3
1001000179.F2	1.8069314	-44.613216	Microglia	3
1001000179.E2	-0.7839576	-52.56575	Microglia	3
1001000179.A3	4.9848733	-52.36645	Microglia	3
1001000179.G4	-0.011243473	-55.548134	Microglia	3
